Ligne aérienne,2015,2016,2017,2018,2019,2020
Métropole - Europe,77202,80612,85930,90409,94441,25180
Métropole - Afrique,16030,16195,17644,18589,19566,6203
Métropole - Amérique,12831,12943,13683,14662,15683,3374
Métropole - Asie,11550,11307,12003,12803,13022,3058
Paris - régions,16263,16486,16631,16345,16294,6741
Régions - régions,7758,8291,8979,9871,10462,4822
Métropole - outre-mer,3830,4009,4233,4668,4854,2637
Outre-mer - international,2303,2459,2602,2621,2729,767
Outre-mer - outre-mer,2192,2282,2345,2387,2485,1383
Ensemble,149957,154583,164049,172355,179534,54165
